Year,Industry,Gas Type,Gas Name,Emissions,,,,,
1995,Information and communication,CO2,Carbon Dioxide,"1,253.2",,,,,
1995,Financial and insurance activities,CO2,Carbon Dioxide,354.8,,,,,
1995,Real estate activities,CO2,Carbon Dioxide,765.8,,,,,
1995,"Professional, scientific and technical activities",CO2,Carbon Dioxide,"2,592.8",,,,,
1995,Administrative and support service activities,CO2,Carbon Dioxide,"2,973.1",,,,,
1995,Public administration and defence; compulsory social security,CO2,Carbon Dioxide,"9,847.2",,,,,
1995,Education,CO2,Carbon Dioxide,"4,181.8",,,,,
1995,Human health and social work activities,CO2,Carbon Dioxide,"5,529.8",,,,,
1995,"Arts, entertainment and recreation",CO2,Carbon Dioxide,"1,529.9",,,,,
1995,Other service activities,CO2,Carbon Dioxide,"1,228.2",,,,,
1995,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,CO2,Carbon Dioxide,50.2,,,,,
1995,Consumer expenditure,CO2,Carbon Dioxide,"139,196.0",,,,,
1996,"Agriculture, forestry and fishing",CO2,Carbon Dioxide,"8,740.8",,,,,
1996,Mining and quarrying,CO2,Carbon Dioxide,"29,087.1",,,,,
1996,Manufacturing,CO2,Carbon Dioxide,"136,383.7",,,,,
1996,"Electricity, gas, steam and air conditioning supply",CO2,Carbon Dioxide,"167,322.8",,,,,
1996,"Water supply; sewerage, waste management and remediation activities",CO2,Carbon Dioxide,"4,570.0",,,,,
1996,Construction,CO2,Carbon Dioxide,"10,280.0",,,,,
1996,Wholesale and retail trade; repair of motor vehicles and motorcycles,CO2,Carbon Dioxide,"12,712.5",,,,,
1996,Transport and storage,CO2,Carbon Dioxide,"77,299.2",,,,,
1996,Accommodation and food services,CO2,Carbon Dioxide,"3,574.1",,,,,
1996,Information and communication,CO2,Carbon Dioxide,"1,262.9",,,,,
1996,Financial and insurance activities,CO2,Carbon Dioxide,358.9,,,,,
1996,Real estate activities,CO2,Carbon Dioxide,798.3,,,,,
1996,"Professional, scientific and technical activities",CO2,Carbon Dioxide,"2,618.1",,,,,
1996,Administrative and support service activities,CO2,Carbon Dioxide,"3,041.3",,,,,
1996,Public administration and defence; compulsory social security,CO2,Carbon Dioxide,"9,718.1",,,,,
1996,Education,CO2,Carbon Dioxide,"5,325.0",,,,,
