code,label,cx,cy
E05000942,Linacre,-3.008102247099572,53.45296043310408
E05000943,Litherland,-2.9922514800172073,53.467384677468914
E05000944,Manor,-3.021321434337997,53.50740772494693
E05000945,Meols,-2.9584598029316234,53.670632834351494
E05000946,Molyneux,-2.9222701892056118,53.49513029932508
E05000947,Netherton and Orrell,-2.9689680890817596,53.476200577605
E05000948,Norwood,-2.970877010343678,53.64534347921805
E05000949,Park,-2.9591021246036364,53.519221588768445
E05000950,Ravenmeols,-3.0419348633999985,53.54106018746667
E05000951,St Oswald,-2.9805693439288587,53.49079719029374
E05000952,Sudell,-2.925773044767205,53.51275715816751
E05000953,Victoria,-3.021212403802626,53.48439938467213
E05000954,Bebington,-3.0303011909254827,53.35562469073678
E05000955,Bidston and St James,-3.0624836389504275,53.40178089548938
E05000956,Birkenhead and Tranmere,-3.021945151058974,53.38839697061506
E05000957,Bromborough,-2.9835151340255113,53.344927413379
E05000958,Clatterbridge,-3.029049140767624,53.3263578138323
E05000959,Claughton,-3.0599514856580314,53.389007522821856
E05000960,Eastham,-2.9618934575463673,53.31660199081164
E05000961,"Greasby, Frankby and Irby",-3.1251264456826147,53.37099910425996
E05000962,Heswall,-3.107233712606485,53.319560698074895
E05000963,Hoylake and Meols,-3.1631397836104487,53.39121604778217
E05000964,Leasowe and Moreton East,-3.0966213674033916,53.41053665310269
E05000965,Liscard,-3.0435639944609183,53.420699872059245
E05000966,Moreton West and Saughall Massie,-3.122828140076978,53.401241405106525
E05000967,New Brighton,-3.042922754227981,53.43315839373307
E05000968,Oxton,-3.053316574115646,53.378500122482414
E05000969,Pensby and Thingwall,-3.090504246104962,53.35316953314725
E05000970,Prenton,-3.0471644442469947,53.36870153159257
E05000971,Rock Ferry,-3.0114980125940223,53.37052700177447
E05000972,Seacombe,-3.0333962174182223,53.409857660951786
E05000973,Upton,-3.092153599291472,53.38403357884317
E05000974,Wallasey,-3.067747157891603,53.426465661292966
E05000975,West Kirby and Thurstaston,-3.1545005323253292,53.35999233845144
E05000976,Central,-1.4675502565046745,53.55346635953057
E05000977,Cudworth,-1.4102867204825948,53.57416301586154
E05000978,Darfield,-1.3725835424675328,53.53701385535557
E05000979,Darton East,-1.5062143785994995,53.585456477679166
E05000980,Darton West,-1.541428857957984,53.58221382161897
E05000981,Dearne North,-1.3122341982753551,53.54507744734068
E05000982,Dearne South,-1.3131949413636474,53.5234707194784
E05000983,Dodworth,-1.5263353628089487,53.546568733431485
E05000984,Hoyland Milton,-1.427646865181912,53.503902385471285
E05000985,Kingstone,-1.4888628707826586,53.546024949602355
E05000986,Monk Bretton,-1.439024529054917,53.56960515706356
E05000987,North East,-1.3723158001906313,53.577925920614334
E05000988,Old Town,-1.4875375355017946,53.56411980706373
E05000989,Penistone East,-1.5582427263568526,53.52003833866989
E05000990,Penistone West,-1.7143446996353702,53.520251869984044
E05000991,Rockingham,-1.4638168475243374,53.50013356888979
E05000992,Royston,-1.4554291072996577,53.5970723217318
E05000993,St Helens,-1.4695358042650442,53.578497727095474
E05000994,Stairfoot,-1.430992575351365,53.543232070759345
E05000995,Wombwell,-1.4101565888047463,53.519498947789
E05000996,Worsbrough,-1.4643663606191961,53.52896538648771
E05001067,Birtley,-1.571803671367808,54.89121732706514
E05001068,Blaydon,-1.708372448242149,54.95881445181312
E05001069,Bridges,-1.596059187573392,54.96062389773676
E05001071,Chowdene,-1.5917,54.926033333333336
E05001072,Crawcrook and Greenside,-1.7913910917753906,54.95653720321218
E05001073,Deckham,-1.5901130052530932,54.947485326505046
E05001074,Dunston and Teams,-1.6432373375832587,54.95509592974207
E05001075,Dunston Hill and Whickham East,-1.6592316682227015,54.943062630221576
E05001076,Felling,-1.5712271745093116,54.95410384368637
E05001077,High Fell,-1.5758279549406036,54.93163483878356
E05001078,Lamesley,-1.6242719728292456,54.909891787291
E05001079,Lobley Hill and Bensham,-1.624647427456203,54.94342395874066
E05001080,Low Fell,-1.599104579402516,54.93414497809973
E05001081,Pelaw and Heworth,-1.5434944646906772,54.9545923827648
E05001082,"Ryton, Crookhill and Stella",-1.747346257806539,54.97157818831775
E05001083,Saltwell,-1.6073544391511474,54.94688484192291
E05001084,Wardley and Leam Lane,-1.5288624121661296,54.94243154324363
